power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,costfrac
3087000,5000,0.6,[195.05395972],6.338144704000229,2.541415240732989,100,135942.8228102026,185943.59190927746,561288.6125810283,8691.5249648601,14646.048244955467,216.57463279837114,156.49576374468424,0.923076923076923,0.1
500000,10000,0.6,[1747.86464088],151.90421089603947,55.765764933144965,100,52756.10467639368,501310.5484518168,432803.09171356715,152116.0766065893,242756.14287541553,141.32491267011474,300.3553896958097,0.923076923076923,0.1
700000,10000,0.6,[1574.03933267],113.70508384084275,43.34975369458128,100,66335.74302380018,397321.3951956382,494686.31689359044,110709.47147234346,178202.70146342056,164.20361247947454,246.69065528575962,0.923076923076923,0.1
900000,10000,0.6,[1430.99036887],94.41075568112524,36.294174118672835,100,74218.3168175761,350990.3023348614,520580.2168368685,92769.89210314795,150054.2105468806,175.01600516848123,224.06005602258094,0.923076923076923,0.1
1100000,10000,0.6,[1234.41716058],78.144547738309,30.208457436966754,100,81994.90904441435,314717.54546061135,538554.7775285655,78264.86314612067,126952.70324281095,183.66195411324537,207.9824868497025,0.923076923076923,0.1
1300000,10000,0.6,[1050.44504377],61.458377490718554,24.793785537228988,100,90742.18806823477,282360.85685577965,552600.7162219086,65365.94534582776,106218.19060776991,191.04982806006208,192.88885239201383,0.923076923076923,0.1
1500000,10000,0.6,[877.43702485],50.35329620543203,20.436778947452698,100,98806.12929904509,259728.93673144412,559562.2868372675,55335.7910404818,89938.28668452783,196.06148119307164,181.9048927004212,0.923076923076923,0.1
1700000,10000,0.6,[783.32754228],41.29668628395265,17.05581294468132,100,105514.56484318018,244218.49493931013,562765.7083457806,47690.61312581582,77713.27500377243,199.38506503682376,174.35403955601038,0.923076923076923,0.1
1900000,10000,0.6,[661.07173749],34.77056478028334,14.05539109866581,100,110865.36856168925,231447.46225888695,564787.1120768589,40508.437971569045,66100.0438790808,203.00081256154542,169.65036917477752,0.923076923076923,0.1
2100000,10000,0.6,[555.03990786],27.62490113902588,11.478852212990603,100,116765.48885163285,221438.21035831532,563900.3928023138,33948.43613938281,55433.10290921063,204.91006432178102,166.47448878900278,0.923076923076923,0.1
2300000,10000,0.6,[376.53826703],22.97614962284925,7.953257499924452,100,123709.98874837469,209729.8874229525,561826.9360066197,25101.30726726648,40955.187180196976,208.43415190313434,163.15952054712565,0.923076923076923,0.1
2500000,10000,0.6,[265.38359189],15.980968573485482,5.617319619286646,100,129933.21383215292,199181.50967325422,560783.7330693401,18142.211106988816,29576.00093698723,211.14693597475022,158.92780127131735,0.923076923076923,0.1
2700000,10000,0.6,[169.02806117],10.295856923402116,3.487714246462374,100,133903.72782998692,190421.6901294928,560618.4120125686,11621.601431215939,18983.475141474657,214.94941147781208,157.5019072966596,0.923076923076923,0.1
2900000,10000,0.6,[68.91179401],3.8889200580854197,1.4219215677093424,100,138746.1094620593,182398.31279895603,558531.0282346909,4777.459806871262,7802.68643314855,217.52936863351067,157.4443928591117,0.923076923076923,0.1
2800000,10000,0.6,[124.75648878],7.2710169780418,2.4808936563256383,100,135888.0001336083,186263.167282971,560331.6780852018,8377.376479406119,13717.127982634283,216.70912520816526,157.1776402263577,0.923076923076923,0.1
2750000,10000,0.6,[143.66555663],8.581748660156029,2.964385943557713,100,135173.2909777218,188243.71607537445,560199.7639924429,9899.384827719054,16168.759267622907,215.63469790320508,157.2700389893716,0.923076923076923,0.1
2800000,10000,0.6,[124.75648878],7.2710169780418,2.4808936563256383,100,135888.0001336083,186263.167282971,560331.6780852018,8377.376479406119,13717.127982634283,216.70912520816526,157.1776402263577,0.923076923076923,0.1
2760000,10000,0.6,[140.41519561],8.341923503438778,2.880745863451292,100,135301.10561089436,187890.62933863906,560227.637349601,9634.47897839138,15742.016563870018,215.820564747886,157.24631311321383,0.923076923076923,0.1
2770000,10000,0.6,[137.81992911],8.09688068196347,2.7588985441483374,100,135383.0110872555,187513.34861077127,560281.9852704206,9286.631366548363,15198.439693842167,216.09133656855926,157.3844416626501,0.923076923076923,0.1
2780000,10000,0.6,[132.14993277],7.757867613523633,2.6313596475895764,100,135623.98333293488,186936.47578826713,560311.5417959086,8882.649510298419,14542.754240685255,216.37475633868982,157.23040311886479,0.923076923076923,0.1
2790000,10000,0.6,[129.18053146],7.562252158706027,2.570923420952057,100,135729.33188521536,186666.77288211632,560319.7164022403,8679.845652494228,14211.384758830327,216.509059064551,157.21039957553384,0.923076923076923,0.1
2785000,10000,0.6,[132.11495857],7.755425795024792,2.6306393418450664,100,135625.1757621033,186933.2836824049,560311.6660504224,8880.210407576853,14538.771602314604,216.37635701812206,157.23038263016804,0.923076923076923,0.1
2790000,10000,0.6,[129.18053146],7.562252158706027,2.570923420952057,100,135729.33188521536,186666.77288211632,560319.7164022403,8679.845652494228,14211.384758830327,216.509059064551,157.21039957553384,0.923076923076923,0.1
