power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge
350000,20000,0.38,[132.36252622],21.662743873191527,3.804923756511641,20,179432.10637710913,211597.33708938494,504885.59159527306,11827.896746252482,31108.073171859232
310000,20000,0.38,[144.56947313],23.494638457527092,4.203152364273194,20,178012.27543576632,213925.92204123546,505640.8233283618,12817.717826036023,33708.80385877161
305000,20000,0.38,[145.84446591],23.737327780514924,4.234374549335172,20,177922.53634966287,214228.34316405546,505594.7115892554,12916.231496664032,33968.586147644986
301000,20000,0.38,[146.88800215],23.95639279962574,4.265301957005832,20,177914.99392750466,214412.11556884093,505551.14248268894,12995.089260023264,34175.87441427667
500000,30000,0.38,[32.53320903],6.197069595907024,1.12162272189739,20,188357.67826343662,192926.5913806888,500745.22979880223,3598.3293683225065,9435.272235025155
400000,30000,0.38,[52.18498037],10.01926339778754,1.8126638055058177,20,185828.5784514271,197375.25195892222,502269.73351893754,5653.000915216427,14824.033547613208
350000,30000,0.38,[63.96994555],12.323785787884615,2.1655680695499515,20,185055.94543716763,200194.1801894273,502105.0261452816,6771.726955316005,17764.34115264864
310000,30000,0.38,[70.88994592],13.749587633258518,2.4030568117767603,20,183998.66584448444,201648.73531477532,502845.3828148664,7449.065320761667,19543.01230899003
305000,30000,0.38,[72.06333972],13.981795903589799,2.45748957122545,20,183820.01023417932,201905.87153050752,502980.06985696754,7576.891752576041,19877.18650674578
301000,30000,0.38,[73.11380541],14.18872559085517,2.4823896101666807,20,183748.8256244547,202135.9103149651,502970.9275843414,7665.423903146663,20110.665678369674
500000,40000,0.38,[0.],0.0,0.0,20,192553.75313012124,185760.2291707637,497686.0176991151,0.0,0.0
400000,40000,0.38,[13.09458574],2.681713039608627,0.504960813344725,20,190642.49416177656,188690.92454819896,499299.2502235784,1574.8275703812978,4123.346573856557
350000,40000,0.38,[21.54203046],4.525002665529357,0.8307159489668864,20,189389.29669985935,190760.50625615526,500153.38307949656,2573.6396472991933,6739.289169154171
310000,40000,0.38,[28.63370102],6.067028581344045,1.104188955369812,20,188344.2749096536,192420.49300625655,500901.5600599572,3388.3809491500706,8873.614746517156
305000,40000,0.38,[30.08391978],6.435615446632475,1.1601131106595168,20,188280.58947249316,192778.22243522733,500886.79457827745,3555.280212625592,9310.868964651052
301000,40000,0.38,[30.77856281],6.6012153898413715,1.1869003277003642,20,188148.74859551492,192965.40802088648,500965.979187043,3635.6568199860703,9521.476770961825
500000,50000,0.38,[0.],0.0,0.0,20,192553.75313012124,185760.22917076366,497686.0176991151,0.0,0.0
400000,50000,0.38,[0.],0.0,0.0,20,192553.75313012124,185760.22917076366,497686.0176991151,0.0,0.0
350000,50000,0.38,[0.],0.0,0.0,20,192553.75313012124,185760.22917076366,497686.0176991151,0.0,0.0
310000,50000,0.38,[0.],0.0,0.0,20,192553.75313012124,185760.22917076366,497686.0176991151,0.0,0.0
305000,50000,0.38,[0.],0.0,0.0,20,192553.75313012124,185760.22917076366,497686.0176991151,0.0,0.0
301000,50000,0.38,[0.16597092],0.04240308343997079,0.007114969014281771,20,192551.62299619766,185798.74475668676,497686.3387592464,21.996032459323487,57.52849369837499
500000,5000,0.42,[887.25783252],42.776414030737655,9.446576783516306,20,159113.34042280226,246420.53396250305,517185.75016030436,31162.301718714953,76324.28773903816
400000,5000,0.42,[1074.04440428],49.74121337847507,11.228430566519691,20,154426.13977957092,258625.81111774698,516732.17458137753,35859.78007291021,87851.02744057344
500000,5000,0.42,[887.25783252],42.776414030737655,9.446576783516306,20,159113.34042280226,246420.53396250305,517185.75016030436,31162.301718714953,76324.28773903816
450000,5000,0.42,[1006.79387245],46.38935507072644,10.443538719731466,20,156665.74263990048,253693.52484716158,516539.7951813595,33914.75204562656,83117.53841976718
500000,5000,0.42,[887.25783252],42.776414030737655,9.446576783516306,20,159113.34042280226,246420.53396250305,517185.75016030436,31162.301718714953,76324.28773903816
460000,5000,0.42,[982.36294119],45.852322754473064,10.201149264848752,20,157153.78047729458,252241.290566772,516645.03496332426,33333.545300526326,81706.17828175882
470000,5000,0.42,[965.41144754],44.77746481066177,10.015547674862113,20,157725.0876602997,250962.56459138694,516598.3535075211,32831.519972859096,80475.1752174255
480000,5000,0.42,[953.1202527],43.98034891913982,9.870066868517242,20,158087.80184773536,249563.8163047167,516999.46121515654,32401.312914431157,79431.34443639891
475000,5000,0.42,[958.02391312],44.30751698890444,9.931993971843143,20,157901.15552799348,250101.64424900396,516908.30499453977,32577.21849817472,79858.55680431763
471000,5000,0.42,[964.79019247],44.74256130439877,10.011869436201764,20,157724.24854067885,250937.90985883714,516606.42830160994,32820.38053943977,80447.18789575442
472000,5000,0.42,[963.60641107],44.6613163624769,9.994172676473642,20,157772.53020677314,250738.81295225583,516679.06594503805,32766.468859996337,80317.74040478207
500000,10000,0.42,[354.57168203],33.354720570886144,6.478507651586319,20,168788.3647240608,230809.66959867656,508057.49064098013,21721.21232083724,52309.20253886367
400000,10000,0.42,[383.08530032],38.36310638505912,7.551741588696289,20,165789.4922439429,237982.3056139867,507559.4316280346,24323.360989896308,58461.49866634338
350000,10000,0.42,[400.84388972],40.872358821491176,8.166294062456958,20,163730.53971068055,241130.9206724583,508370.72975722246,25659.37284629875,61633.73172692688
310000,10000,0.42,[422.75691553],44.09647217350232,8.942842220218767,20,161086.46829343037,245733.2027010143,508881.04590744467,27393.89649113446,65752.72112516328
305000,10000,0.42,[426.7797236],44.65027910730977,9.077426762431523,20,160652.8729054251,246354.21896396982,509086.96640600386,27669.38059218526,66408.17009023235
301000,10000,0.42,[429.18001625],45.04179162063842,9.150440046452827,20,160579.27823867658,246671.59931512232,509038.39921744814,27807.1200389342,66734.46887397756
500000,20000,0.42,[123.29425708],19.697854815772914,3.7460680004672815,20,179661.44570568792,210542.4563577443,503081.167805139,12091.648933723556,28789.18442624878
400000,20000,0.42,[158.59129712],25.11103316863604,4.9375315033078815,20,175587.27445386339,218051.35801770343,504184.33915588487,15271.15543910987,36352.24452523026
350000,20000,0.42,[174.91604333],27.62090028313417,5.475356112390156,20,173993.88993446398,221489.42517940167,504346.21345413325,16676.76057828026,39696.16336335359
310000,20000,0.42,[192.07878075],30.417955243454998,6.025948179953434,20,172333.75707279198,224334.71964466403,505106.1713015017,18035.7707993842,42934.210441975054
305000,20000,0.42,[193.74992338],30.76030127285418,6.067539022581849,20,172172.13160780937,224798.31305567577,505014.0419395894,18181.86636103533,43283.025904827715
301000,20000,0.42,[198.24469748],31.451738256785372,6.217608457334102,20,171778.28955324934,225391.41249802912,505293.248248777,18516.284061454888,44079.64967428012
500000,30000,0.42,[62.0850926],11.250288656060718,2.19943769028184,20,184769.05808795532,199625.83517541963,501665.7516880919,7067.637100887841,16785.71641130761
400000,30000,0.42,[82.00816364],15.208960407884383,2.8722130444277525,20,182430.6892456787,203800.52534586712,502737.9907330994,9105.14396624797,21632.862305075298
350000,30000,0.42,[93.14087891],17.227702816342287,3.3690023537657083,20,180495.1221584809,206519.45677040468,503725.94153060584,10353.978585108161,24592.60906370759
310000,30000,0.42,[103.31942169],19.129566143832534,3.8880933913327453,20,178983.73972902753,208783.90723711008,504612.9286823283,11514.01887563068,27336.7026336146
