power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,dischargeeffi
2500000,10000,0.6,[107.14899948],3.222027716861673,2.4703057470353826,100,136140.40436446303,182609.47604096765,561972.5672284985,6876.311274463174,8984.360017775642,218.18723546524524,157.44126512457095,0.7745966692414833,0.7745966692414834
2400000,10000,0.6,[187.67963064],5.695619047818688,4.343137234023023,100,132261.60249835267,187184.4232169697,564713.2054183364,11877.000985125316,15519.998663359387,216.58938329471042,157.75465529525178,0.7745966692414833,0.7745966692414834
2500000,10000,0.6,[107.14899948],3.222027716861673,2.4703057470353826,100,136140.40436446303,182609.47604096765,561972.5672284985,6876.311274463174,8984.360017775642,218.18723546524524,157.44126512457095,0.7745966692414833,0.7745966692414834
2450000,10000,0.6,[143.28877233],4.319247188914157,3.303244776872873,100,134230.5189316243,184432.71006519216,563599.0683326077,9115.935357614242,11911.92781820049,217.78548473677282,157.38820511972324,0.7745966692414833,0.7745966692414834
2500000,10000,0.6,[107.14899948],3.222027716861673,2.4703057470353826,100,136140.40436446303,182609.47604096765,561972.5672284985,6876.311274463174,8984.360017775642,218.18723546524524,157.44126512457095,0.7745966692414833,0.7745966692414834
2460000,10000,0.6,[137.32886846],4.129133150246888,3.1597350546285754,100,134602.94919154036,184080.0625591851,563317.0465446196,8734.346016871064,11413.220503500062,217.84337479131148,157.2947630668382,0.7745966692414833,0.7745966692414834
2455000,10000,0.6,[141.91600548],4.283151771660528,3.2738351603677613,100,134347.4135231244,184427.63609927747,563434.6172025389,9039.680477877673,11812.093628869745,217.71012895962534,157.43476652257036,0.7745966692414833,0.7745966692414834
2460000,10000,0.6,[137.32886846],4.129133150246888,3.1597350546285754,100,134602.94919154036,184080.0625591851,563317.0465446196,8734.346016871064,11413.220503500062,217.84337479131148,157.2947630668382,0.7745966692414833,0.7745966692414834
2456000,10000,0.6,[140.75722739],4.2502684116280705,3.2470426453745347,100,134468.26908526573,184406.33750478897,563287.8327685734,8971.173557023585,11722.446158053679,217.64147893868073,157.43706737531107,0.7745966692414833,0.7745966692414834
2457000,10000,0.6,[140.75722739],4.2502684116280705,3.2470426453745347,100,134468.26908526573,184406.33750478897,563287.8327685734,8971.173557023585,11722.446158053679,217.64147893868073,157.43706737531107,0.7745966692414833,0.7745966692414834
2458000,10000,0.6,[140.20470408],4.23008810176676,3.232613626091475,100,134489.1113831301,184347.6383112797,563298.8357732451,8931.984885223277,11671.28980890112,217.67973826965817,157.40742681798596,0.7745966692414833,0.7745966692414834
2459000,10000,0.6,[137.51973837],4.135168391526507,3.164653073985779,100,134577.32347747064,184087.97460735324,563343.2606632558,8746.695439765073,11429.370747715993,217.8560008190931,157.3038797455083,0.7745966692414833,0.7745966692414834
