power,energy,effi,storage,charge,discharge,profit,Revenew
376500,25000,0.6,[6.94449004],0.90462021778455,1.4285714285714286,[9.39581813],43393.03482725346
377000,25000,0.6,[0.],0.0,0.0,[0.],0.0
376600,25000,0.6,[6.94449004],0.90462021778455,1.4285714285714286,[1.58895171],43393.03482725346
376700,25000,0.6,[0.],0.0,0.0,[0.],0.0
110000,30000,0.6,[7.18156467],2.097767583157204,1.4285714285714286,[21147.49609479],50620.62784730472
170000,30000,0.6,[7.16433581],1.6750250584502109,1.4285714285714286,[14985.37782449],49093.53024340549
230000,30000,0.6,[6.15148891],1.1991166416738097,1.4285714285714286,[9445.73618097],44091.73694458957
290000,30000,0.6,[5.7631096],1.00808369673851,1.4285714285714286,[4388.35612228],41766.62655586148
350000,30000,0.6,[0.],0.0,0.0,[0.],0.0
310000,30000,0.6,[5.74582028],0.9605134558002608,1.4285714285714286,[2787.66326177],41345.1634409206
330000,30000,0.6,[5.73433438],0.9585933894021158,1.4285714285714286,[1196.95594291],41301.06136277535
350000,30000,0.6,[0.],0.0,0.0,[0.],0.0
340000,30000,0.6,[5.73290295],0.9295364506195982,1.4285714285714286,[405.92797358],41036.5242984663
350000,30000,0.6,[0.],0.0,0.0,[0.],0.0
345000,30000,0.6,[5.73290295],0.9147357064040992,1.4285714285714286,[13.96953145],40901.16925975731
350000,30000,0.6,[0.],0.0,0.0,[0.],0.0
346000,30000,0.6,[0.],0.0,0.0,[0.],0.0
345500,30000,0.6,[0.],0.0,0.0,[0.],0.0
345100,30000,0.6,[5.73290295],0.9147357064040992,1.4285714285714286,[6.13550861],40901.16925975731
345200,30000,0.6,[5.73290295],0.9147357064040992,1.4285714285714286,[-1.69851423],40901.16925975731
110000,35000,0.6,[6.54883906],1.9129455648047793,1.4285714285714286,[18295.73685792],48332.13502138728
170000,35000,0.6,[5.75161503],1.3447302796902985,1.4285714285714286,[12418.09814833],43920.95097713727
230000,35000,0.6,[5.72860005],1.123898560058367,1.4285714285714286,[7086.30939608],42553.72725560664
290000,35000,0.6,[5.15470066],1.0048115887881532,1.4285714285714286,[2109.61464419],40068.51955505037
350000,35000,0.6,[0.],0.0,0.0,[0.],0.0
310000,35000,0.6,[5.46255968],0.9155121795025511,1.4285714285714286,[508.5710496],40207.785308369246
330000,35000,0.6,[0.],0.0,0.0,[0.],0.0
320000,35000,0.6,[0.],0.0,0.0,[0.],0.0
315000,35000,0.6,[5.46440968],0.914252483184909,1.4285714285714286,[116.88403093],40202.468893593774
320000,35000,0.6,[0.],0.0,0.0,[0.],0.0
316000,35000,0.6,[5.46440968],0.914252483184909,1.4285714285714286,[38.55677528],40202.468893593774
317000,35000,0.6,[0.],0.0,0.0,[0.],0.0
