power,energy,effi,storage,charge,discharge,profit,Revenew
60000,5000,0.45,[88.6142681],17.290949568703017,1.4285714285714286,[34447.10929848],101231.56495560217
80000,5000,0.45,[71.44129121],11.942563558136047,1.4285714285714286,[25763.92261217],84501.69832460929
100000,5000,0.45,[59.89293025],8.669001447573086,1.4285714285714286,[19236.28969223],72020.48231364664
120000,5000,0.45,[51.57388],6.7357638983656205,1.4285714285714286,[14029.66660262],62964.08038850753
140000,5000,0.45,[43.42700685],5.227645131372823,1.4285714285714286,[9802.91137038],54478.71097597024
160000,5000,0.45,[37.36972648],4.181033287505347,1.4285714285714286,[6226.10820141],47848.1226191584
180000,5000,0.45,[32.39619045],3.376974339713639,1.4285714285714286,[3137.63206999],42190.727104773396
200000,5000,0.45,[28.16724304],2.759078798613496,1.4285714285714286,[439.20944379],37359.523485194026
220000,5000,0.45,[0.],0.0,0.0,[0.],0.0
210000,5000,0.45,[0.],0.0,0.0,[0.],0.0
205000,5000,0.45,[0.],0.0,0.0,[0.],0.0
201000,5000,0.45,[27.88034101],2.7274011928678368,1.4285714285714286,[311.73713616],37073.36712309065
202000,5000,0.45,[27.74636784],2.7127724895943226,1.4285714285714286,[184.90963881],36940.23029148863
203000,5000,0.45,[27.7096368],2.693588472453024,1.4285714285714286,[58.58526638],36821.16748189311
204000,5000,0.45,[0.],0.0,0.0,[0.],0.0
203500,5000,0.45,[0.],0.0,0.0,[0.],0.0
203100,5000,0.45,[27.65395553],2.6898489188752306,1.4285714285714286,[45.98816716],36778.354305403634
203200,5000,0.45,[27.62396247],2.6878345850868035,1.4285714285714286,[33.39578138],36755.28775387099
203300,5000,0.45,[27.55855816],2.674450290878263,1.4285714285714286,[20.84205963],36655.924984913756
203400,5000,0.45,[27.55855816],2.673700112438167,1.4285714285714286,[8.28406152],36651.82881646659
203500,5000,0.45,[0.],0.0,0.0,[0.],0.0
40000,10000,0.45,[38.00137715],13.18009829548483,1.4285714285714286,[20665.80900184],67594.58092436662
60000,10000,0.45,[28.3108442],8.476140893874371,1.4285714285714286,[14043.36889753],53738.251704187154
80000,10000,0.45,[23.49501007],5.871719806621801,1.4285714285714286,[9258.66445236],45105.82962253379
100000,10000,0.45,[20.65175829],4.336602340651432,1.4285714285714286,[5463.3501953],39126.352893800904
120000,10000,0.45,[17.61602509],3.437344887918585,1.4285714285714286,[2302.84248874],34026.53961562039
140000,10000,0.45,[0.],0.0,0.0,[0.],0.0
130000,10000,0.45,[16.37029561],3.0231627071570175,1.4285714285714286,[885.58477041],31620.517071144342
140000,10000,0.45,[0.],0.0,0.0,[0.],0.0
135000,10000,0.45,[15.93504726],2.851677990509336,1.4285714285714286,[221.22933012],30658.624616809364
140000,10000,0.45,[0.],0.0,0.0,[0.],0.0
136000,10000,0.45,[15.93234123],2.8118044809000557,1.4285714285714286,[91.51851686],30511.49077704713
137000,10000,0.45,[0.],0.0,0.0,[0.],0.0
136500,10000,0.45,[15.93504726],2.7959022834757503,1.4285714285714286,[27.06516154],30455.57885948997
137000,10000,0.45,[0.],0.0,0.0,[0.],0.0
136600,10000,0.45,[15.93504726],2.79534422137941,1.4285714285714286,[14.18233568],30453.533772927098
136700,10000,0.45,[15.93504726],2.793106381192274,1.4285714285714286,[1.30217178],30445.323735824913
136800,10000,0.45,[0.],0.0,0.0,[0.],0.0
40000,15000,0.45,[19.35237179],7.537220659962078,1.4285714285714286,[10140.48060617],43778.748260931825
60000,15000,0.45,[14.6608965],4.9946395567549375,1.4285714285714286,[5634.86401065],34629.14861417033
80000,15000,0.45,[11.55383621],3.6017230676370757,1.4285714285714286,[2326.3865435],28330.70548437727
100000,15000,0.45,[0.],0.0,0.0,[0.],0.0
90000,15000,0.45,[10.10354055],2.975340145266352,1.4285714285714286,[906.92887059],25149.44723092557
100000,15000,0.45,[0.],0.0,0.0,[0.],0.0
95000,15000,0.45,[10.0617211],2.693397341369733,1.4285714285714286,[262.55746821],24403.756117229193
100000,15000,0.45,[0.],0.0,0.0,[0.],0.0
96000,15000,0.45,[10.05017047],2.614298846427499,1.4285714285714286,[138.21690586],24187.68730277015
97000,15000,0.45,[9.04656348],2.351666668532466,1.4285714285714286,[17.33330689],22293.69490517443
98000,15000,0.45,[0.],0.0,0.0,[0.],0.0
97500,15000,0.45,[0.],0.0,0.0,[0.],0.0
97100,15000,0.45,[9.02972066],2.347288355794859,1.4285714285714286,[5.6526063],22261.93302866449
97200,15000,0.45,[0.],0.0,0.0,[0.],0.0
40000,20000,0.45,[8.82386332],4.515616336306511,1.4285714285714286,[4466.07696172],25688.17758718122
60000,20000,0.45,[7.19306494],2.801502486947158,1.4285714285714286,[1485.21569627],20818.064698717477
80000,20000,0.45,[0.],0.0,0.0,[0.],0.0
70000,20000,0.45,[5.80214705],2.2597779263737228,1.4285714285714286,[246.41451126],17609.37906728917
80000,20000,0.45,[0.],0.0,0.0,[0.],0.0
75000,20000,0.45,[0.],0.0,0.0,[0.],0.0
71000,20000,0.45,[5.79199438],2.2558237401592622,1.4285714285714286,[132.0444139],17585.558321897628
72000,20000,0.45,[5.78046817],2.251334596857706,1.4285714285714286,[17.74063813],17558.34377162616
73000,20000,0.45,[0.],0.0,0.0,[0.],0.0
72500,20000,0.45,[0.],0.0,0.0,[0.],0.0
