power,energy,effi,storage,charge,discharge,profit,Revenew
201000,40000,0.9,[0.],0.0,0.0,[0.],0.0
200500,40000,0.9,[4.22252531],0.7425951887329495,1.0540925533894596,[-14.72026347],28572.804032928972
200100,40000,0.9,[4.22252531],0.7425951887329495,1.0540925533894596,[13.36563234],28572.804032928972
200200,40000,0.9,[4.22252531],0.7425951887329495,1.0540925533894596,[6.34415839],28572.804032928972
200300,40000,0.9,[4.22252531],0.7425951887329495,1.0540925533894596,[-0.67731556],28572.804032928972
30000,50000,0.9,[5.27925695],1.8557149186378783,1.0540925533894596,[10970.16560176],37148.8627843059
50000,50000,0.9,[5.27705726],1.6695636848633928,1.0540925533894596,[8688.95266844],36691.99746369453
70000,50000,0.9,[4.22429131],1.1138944939771018,1.0540925533894596,[6786.72579661],30854.031936272993
90000,50000,0.9,[4.22252531],1.1134290541372316,1.0540925533894598,[5083.46556758],30845.246906041823
110000,50000,0.9,[4.22076519],1.112964700119324,1.0540925533894596,[3380.44528473],30835.9806936046
130000,50000,0.9,[4.22076593],0.8905574090000166,1.0540925533894596,[1831.27254067],29713.374278644842
150000,50000,0.9,[3.17019508],0.66889298389879,1.0540925533894596,[367.00848942],24088.988509912662
170000,50000,0.9,[0.],0.0,0.0,[0.],0.0
160000,50000,0.9,[0.],0.0,0.0,[0.],0.0
155000,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[30.88077848],24074.68424793665
160000,50000,0.9,[0.],0.0,0.0,[0.],0.0
156000,50000,0.9,[0.],0.0,0.0,[0.],0.0
155500,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[-2.73051478],24074.68424793665
155100,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[24.15851983],24074.68424793665
155200,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[17.43626117],24074.68424793665
155300,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[10.71400252],24074.68424793665
155400,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[3.99174387],24074.68424793665
155500,50000,0.9,[3.1675538],0.6683356892061285,1.0540925533894596,[-2.73051478],24074.68424793665
30000,60000,0.9,[4.22076593],1.4836440774778452,1.0540925533894596,[7171.96023686],31851.22848415468
50000,60000,0.9,[4.22076593],1.4836440774778452,1.0540925533894596,[5170.4807988],31851.22848415468
70000,60000,0.9,[3.1675538],0.8352456020223494,1.0540925533894596,[3531.01461532],24967.7443098102
90000,60000,0.9,[3.16623399],0.8348975830215067,1.0540925533894596,[2052.32237368],24960.192888734055
110000,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[573.68955847],24952.143356289576
130000,60000,0.9,[0.],0.0,0.0,[0.],0.0
120000,60000,0.9,[0.],0.0,0.0,[0.],0.0
115000,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[204.09015069],24952.143356289576
120000,60000,0.9,[0.],0.0,0.0,[0.],0.0
116000,60000,0.9,[3.16491472],0.8345497090285809,1.0540925533894594,[130.17026914],24952.143356289587
117000,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[56.25038758],24952.143356289576
118000,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[-17.66949398],24952.143356289576
117500,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[19.2904468],24952.143356289576
118000,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[-17.66949398],24952.143356289576
117600,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[11.89845865],24952.143356289576
117700,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[4.50647049],24952.143356289576
117800,60000,0.9,[3.16491472],0.8345497090285812,1.0540925533894596,[-2.88551767],24952.143356289576
30000,80000,0.9,[2.11038278],1.1115742670557174,1.0540925533894596,[1972.59780258],19213.34652006759
50000,80000,0.9,[2.11038278],0.7418219743178117,1.0540925533894596,[560.55317069],18573.142314549143
70000,80000,0.9,[0.],0.0,0.0,[0.],0.0
60000,80000,0.9,[0.],0.0,0.0,[0.],0.0
55000,80000,0.9,[2.11038278],0.7418219743178117,1.0540925533894596,[209.63524933],18573.142314353485
60000,80000,0.9,[0.],0.0,0.0,[0.],0.0
56000,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[139.46170595],18566.631428093086
57000,80000,0.9,[2.10950345],0.7415128818285124,1.0540925533894596,[69.29057604],18566.63142809309
58000,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[-0.88055387],18566.63142809309
57500,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[34.20501109],18566.63142809309
58000,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[-0.88055387],18566.63142809309
57600,80000,0.9,[2.10950345],0.7415128818285127,1.0540925533894596,[27.1878981],18566.631428093093
57700,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[20.17078511],18566.63142809309
57800,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[13.15367212],18566.63142809309
57900,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[6.13655912],18566.63142809309
58000,80000,0.9,[2.10950345],0.7415128818285126,1.0540925533894596,[-0.88055387],18566.63142809309
30000,100000,0.9,[0.],0.0,0.0,[0.],0.0
20000,100000,0.9,[0.],0.0,0.0,[0.],0.0
15000,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[181.24395729],10428.518296840832
20000,100000,0.9,[0.],0.0,0.0,[0.],0.0
16000,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[118.54230909],10428.518296840832
17000,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[55.8406609],10428.518296840832
18000,100000,0.9,[0.],0.0,0.0,[0.],0.0
17500,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[24.4898368],10428.518296840832
18000,100000,0.9,[0.],0.0,0.0,[0.],0.0
17600,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[18.21967198],10428.518296840832
17700,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[11.94950716],10428.518296840832
17800,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[5.67934234],10428.518296840832
17900,100000,0.9,[1.05497151],0.5561346694206677,1.0540925533894596,[-0.59082248],10428.518296840832
30000,120000,0.9,[0.],0.0,0.0,[0.],0.0
20000,120000,0.9,[0.],0.0,0.0,[0.],0.0
15000,120000,0.9,[0.],0.0,0.0,[0.],0.0
11000,120000,0.9,[0.],0.0,0.0,[0.],0.0
10500,120000,0.9,[0.],0.0,0.0,[0.],0.0
10100,120000,0.9,[0.],0.0,0.0,[0.],0.0
30000,5000,0.7,[90.92481815],13.604316096841352,1.1952286093343938,[60250.16315953],121940.09558458776
50000,5000,0.7,[81.22573974],9.456569802356954,1.1952286093343938,[50447.36224782],109568.14648129788
70000,5000,0.7,[73.95254694],7.1782175301878475,1.1952286093343938,[43093.49278099],100144.9246204937
90000,5000,0.7,[65.38161181],5.802016472213209,1.1952286093343938,[37119.6127963],91629.3320816101
110000,5000,0.7,[58.62029208],4.706035124977561,1.1952286093343938,[32098.96287732],83960.17399770409
130000,5000,0.7,[52.18864734],3.910782739091664,1.1952286093343938,[27846.60492388],77151.33832520068
150000,5000,0.7,[46.98482034],3.314413383085653,1.1952286093343938,[24175.80817408],71438.54695764466
170000,5000,0.7,[43.60535934],2.7973122133641204,1.1952286093343938,[20930.56791467],66507.83115480468
190000,5000,0.7,[40.97178336],2.3592731205791795,1.1952286093343938,[18071.0419665],62074.751388679164
210000,5000,0.7,[38.89562142],2.039918367113919,1.1952286093343938,[15501.27175692],58513.625714727365
230000,5000,0.7,[37.5867403],1.846409087660212,1.1952286093343938,[13144.88752905],56189.52268009372
250000,5000,0.7,[36.9448631],1.6995822696767282,1.1952286093343938,[10912.39814864],54439.77507583458
270000,5000,0.7,[35.2938321],1.5486476635701716,1.1952286093343938,[8810.75624463],52130.86647315972
290000,5000,0.7,[33.84096602],1.406277878418489,1.1952286093343938,[6826.65493838],49880.44250552507
310000,5000,0.7,[31.72762104],1.2729280897538038,1.1952286093343938,[4951.84976565],47360.903003275744
330000,5000,0.7,[30.27354293],1.175087817088175,1.1952286093343938,[3169.45325644],45474.40444173385
350000,5000,0.7,[29.07842005],1.0936180674825775,1.1952286093343938,[1454.78230937],43841.33342129595
370000,5000,0.7,[0.],0.0,0.0,[0.],0.0
