power,energy,effi,storage,charge,discharge,fuel_cost,Gasuse,solar,wind,discharge,charge,Wind,Solar,chargeeffi,costfrac
3500000,5000,0.6,[1277.61423573],114.8026315789474,31.159252617378378,100,359287.0159062913,620110.8929705407,0.0,153206.40514634034,236865.52063677437,0.0,328.94736842105266,0.923076923076923,0.097
3700000,5000,0.6,[926.51190486],82.50361289298195,21.16536974717709,100,412637.04011709394,536071.8949402751,0.0,107691.36713294065,166523.3558679783,0.0,288.7715393876297,0.923076923076923,0.097
3900000,5000,0.6,[750.40685387],67.00416374272024,16.905245357280663,100,436840.83447320864,498261.4327067969,0.0,87554.46721749351,135375.44713615297,0.0,271.55148576052073,0.923076923076923,0.097
4100000,5000,0.6,[601.10242665],55.78947368421052,13.940201981698582,100,453251.5494185626,472230.7962230427,0.0,73331.3453182795,113366.4839629706,0.0,263.1578947368421,0.923076923076923,0.097
4300000,5000,0.6,[468.9014549],42.6065162907268,10.573839604820604,100,473719.1073528469,440353.25770475686,0.0,56410.96783512307,87215.38420867085,0.0,250.62656641604008,0.923076923076923,0.097
4500000,5000,0.6,[346.08747827],30.60882424742462,7.677250392822302,100,491255.1345578575,412709.33601849846,0.0,41437.0419679284,64062.93465626251,0.0,242.31692810282857,0.923076923076923,0.097
4700000,5000,0.6,[218.64874855],19.143435008161205,4.826250141409682,100,508703.54306376027,385105.8487032869,0.0,26394.09016900806,40803.21409482019,0.0,234.99691323108718,0.923076923076923,0.097
4900000,5000,0.6,[101.9270441],8.996060324247381,2.2477437934117988,100,524512.6349669102,359936.0330773113,0.0,12518.927513360954,19354.703591614572,0.0,229.4653901563103,0.923076923076923,0.097
4800000,5000,0.6,[160.15537922],14.153132250580029,3.5520277391847888,100,516536.89444566943,372679.9964062679,0.0,19587.467503286454,30280.946174052773,0.0,232.0185614849188,0.923076923076923,0.097
4900000,5000,0.6,[101.9270441],8.996060324247381,2.2477437934117988,100,524512.6349669102,359936.0330773113,0.0,12518.927513360954,19354.703591614572,0.0,229.4653901563103,0.923076923076923,0.097
4850000,5000,0.6,[127.94916391],11.264367816091948,2.802893885085475,100,521317.64976257517,365186.7358542516,0.0,15563.269777654697,24062.45113336752,0.0,229.88505747126436,0.923076923076923,0.097
4810000,5000,0.6,[154.92536335],13.689095127610202,3.436752797748938,100,517155.8099845393,371643.64785474143,0.0,18968.551964416747,29324.316741874434,0.0,232.0185614849188,0.923076923076923,0.097
4820000,5000,0.6,[142.79156761],12.55811666467116,3.1262110672912087,100,519286.23514036543,368405.11348985997,0.0,17321.63512201709,26781.215771300776,0.0,230.6518784112114,0.923076923076923,0.097
4815000,5000,0.6,[146.99671742],12.962962962962948,3.243135319488261,100,518374.86084031034,369731.0145182916,0.0,17938.33360413405,27733.115965602497,0.0,231.4814814814815,0.923076923076923,0.097
4820000,5000,0.6,[142.79156761],12.55811666467116,3.1262110672912087,100,519286.23514036543,368405.11348985997,0.0,17321.63512201709,26781.215771300776,0.0,230.6518784112114,0.923076923076923,0.097
4816000,5000,0.6,[146.99671742],12.962962962962948,3.243135319488261,100,518374.86084031034,369731.0145182916,0.0,17938.33360413405,27733.115965602497,0.0,231.4814814814815,0.923076923076923,0.097
4817000,5000,0.6,[146.99671742],12.962962962962948,3.243135319488261,100,518374.86084031034,369731.0145182916,0.0,17938.33360413405,27733.115965602497,0.0,231.4814814814815,0.923076923076923,0.097
4818000,5000,0.6,[144.91633333],12.760912906826547,3.1827407623763966,100,518837.01357674075,369057.2696239071,0.0,17623.18346254189,27246.892304482866,0.0,231.06744448120196,0.923076923076923,0.097
4819000,5000,0.6,[144.91633333],12.760912906826547,3.1827407623763966,100,518837.01357674075,369057.2696239071,0.0,17623.18346254189,27246.892304482866,0.0,231.06744448120196,0.923076923076923,0.097
4820000,5000,0.6,[142.79156761],12.55811666467116,3.1262110672912087,100,519286.23514036543,368405.11348985997,0.0,17321.63512201709,26781.215771300776,0.0,230.6518784112114,0.923076923076923,0.097
500000,10000,0.6,[2728.6660146],348.82170647579505,100.0,100,42255.90566456714,1135555.5384497314,0.0,448723.639195153,692801.6153625706,0.0,569.5706934972018,0.923076923076923,0.097
700000,10000,0.6,[2723.95488118],339.93928570455364,100.0,100,42398.13443008698,1135257.5674839204,0.0,448520.68768015667,692470.5134715362,0.0,570.6086714715351,0.923076923076923,0.097
